player,rank,sum,prize
Akalli,1,200,250
JuyenRPPLF,2,141,0
Stellar Flares,3,99,0
OneLastKiss,4,70,0
Cicada,5,49,0
Maxouille,5,49,0
Lokifan,7,35,0
Macaxandre,7,35,0
HikozaruGG,9,24,0
JojoOui,9,24,0
Antonazz,9,24,0
Goodpepito,9,24,0
Milkylex,13,17,0
LucioCerra,13,17,0
Antho17,13,17,0
Iaoth,13,17,0
Mimilimi,17,7,0
Zugubu royale,17,7,0
Micciu,17,7,0
Kebabmlml,17,7,0
Cielau,17,7,0
Elias PSY,17,7,0
Uzerklu,17,7,0
Remi25,17,7,0
Zentrox,17,7,0
Madara66,17,7,0
Hervalt,17,7,0
Multiprise,17,7,0
Raimus,17,7,0
Vulpeen,17,7,0
Issam,17,7,0
Lou Dort,17,7,0
Yovan,33,4,0
Mimikyu Stardust,33,4,0
Umberto,33,4,0
Vkhss,33,4,0
Fabionacci,33,4,0
ZaraSensei,33,4,0
Light DN,33,4,0
RoiDadadou,33,4,0
Welli0u,33,4,0
Armo,33,4,0
Xyldaz,33,4,0
Nassim,33,4,0
Flabeauf,33,4,0
Foufakirby,33,4,0
Daharan,33,4,0
SM,33,4,0
Wildygon,33,4,0
Keshba45,33,4,0
Youde,33,4,0
Simuxxie,33,4,0
Illianes,33,4,0
766645,33,4,0
Wappy,33,4,0
TigerQuasar,33,4,0
Fantominus,33,4,0
ReaDynn,33,4,0
Shiif,33,4,0
Exotic,33,4,0
LegacyYuna,33,4,0
Tchoupi,33,4,0
DidiLaMalice,33,4,0
Trognon,33,4,0
RaulGB44,65,0,0
Ikra,65,0,0
Torvik,65,0,0
S7a,65,0,0
Silent waltzz,65,0,0
Extinct,65,0,0
Crowlignt,65,0,0
TPP,65,0,0
L0ulstraT09,65,0,0
Zerwixo,65,0,0
TheLastPseudo,65,0,0
Surimi,65,0,0
Rubyblood,65,0,0
Bedal,65,0,0
Zenomium,65,0,0
StazMTA,65,0,0
Boonty88,65,0,0
Zenadark,65,0,0
HPtheswag,65,0,0
LenaIsTrueWaifu,65,0,0
FordPrefect,65,0,0
Pendulum8,65,0,0
Trihydre,65,0,0
Zwale,65,0,0
RiyadLand,65,0,0
JspKiC,65,0,0
Herosabis,65,0,0
Yves Stone,65,0,0
BetterGreen,65,0,0
Kindyy,65,0,0
Rems,65,0,0
Rino,65,0,0
Bloodoom,65,0,0
Mauch2204,65,0,0
Stecolomaxx,65,0,0
Lightniong,65,0,0
Lolol,65,0,0
Abbehat,65,0,0
ClairDeSoleil,65,0,0
Inoh650,65,0,0
massoli,65,0,0
Uxilon,65,0,0
Omega Water,65,0,0
Hoyssxo,65,0,0
ChrisCP,65,0,0
Labellebit,65,0,0
Kyll,65,0,0
Mik0ia,65,0,0
Bocoaa,65,0,0
Loutio0,65,0,0
48,65,0,0
Elgoz,65,0,0
Le Yak,65,0,0
Jorgeta,65,0,0
NewShiny,65,0,0
Lumeon,65,0,0
Ashleyno,65,0,0
Krapouchi,65,0,0
Drudi.exe,65,0,0
Loganna,65,0,0
Bogi,65,0,0
Diamondapa,65,0,0
Ygane,65,0,0
Payload13,65,0,0
ImRayann,65,0,0
Itavhyy,65,0,0
JiR0k,65,0,0
Poulpax,65,0,0